M,p,generacion,fraccion_con_antepasado_homicida
5000,0.05,17,1.00000000
5000,0.05,18,1.00000000
5000,0.05,19,1.00000000
5000,0.05,20,1.00000000
5000,0.05,21,1.00000000
5000,0.05,22,1.00000000
5000,0.05,23,1.00000000
5000,0.05,24,1.00000000
5000,0.05,25,1.00000000
5000,0.05,26,1.00000000
5000,0.05,27,1.00000000
5000,0.05,28,1.00000000
5000,0.05,29,1.00000000
